Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosted Trees,0.9151632006610659,1.0,0.6336967294350843,0.7757825770444067,0.8621747562651871
Tuned Gradient Boosted Trees,0.9149795712252674,1.0,0.6329038652130823,0.7751881524641904,0.8606254605906145
